Date,Time Boarded,Line,Name,Direction,Bus,Stop Boarded,Stop Alighted,Time Alighted,Comments,Transfer,Mode
2023-02-26,18:34,TTC_2,Kipling,West,5281,Yonge,Spadina,18:38,from TTC_1; to TTC_510,T,METRO
2023-02-26,18:39,TTC_510,Spadina,South,4472,Spadina,Spadina / College,18:49,from TTC_2,T,STREETCAR
2023-02-26,19:43,TTC_506,Carlton,East,4537,College / Beverly,Parliament / Gerrard ,19:59,,F,STREETCAR
2023-02-26,23:33,TTC_506,Carlton,West,4537,College / Sherbourne ,College / Spadina,23:45,,F,STREETCAR
2023-02-27,0:24,TTC_2,Kennedy,East,5103,Spadina,Yonge,0:27,to TTC_1,T,METRO
2023-02-27,0:35,TTC_1,Finch,North,5841,Bloor,Lawrence,0:48,from TTC_2,T,METRO
2023-02-27,10:36,TTC_1,Vaughn,South,5593,Lawrence,Queen,10:54,to TTC_501,T,METRO
2023-02-27,11:03,TTC_501,Queen,East,4538,Queen / Victoria,Queen / Parliament,11:08,from TTC_1,T,STREETCAR
2023-02-27,12:18,TTC_501,Queen,West,4555,Queen / Parliament,Queen / Soho,12:35,,F,STREETCAR
2023-02-27,13:36,TTC_510,Spadina,North,4459,Spadina / Front,Spadina / Queen,13:41,to TTC_501,T,STREETCAR
2023-02-27,13:46,TTC_501,Queen,East,4515,Queen / Spadina,Queen / Yonge,13:56,from TTC_510,T,STREETCAR
2023-02-27,14:35,TTC_1,Vaughn,South,5966,Yonge,Union,14:39,,F,METRO
2023-02-27,15:51,TTC_509,Harbourfront,West,4532,Queens Quay / Rees,Bathurst / Queens Quay,15:56,,F,STREETCAR
2023-02-27,,,Toronto Island Ferry,,,,,,,F,FERRY
2023-02-27,16:48,TTC_511,Bathurst,North,4511,Fleet / Bathurst,Bathurst / Carr,16:57,,F,STREETCAR
2023-02-27,17:23,TTC_510,Spadina,North,4547,Spadina / Sullivan,Spadina,17:39,to TTC_2,T,STREETCAR
2023-02-27,17:42,TTC_2,Kipling,West,5329,Spadina,Bathurst,17:43,from TTC_510,T,METRO
2023-02-27,20:42,TTC_2,Kennedy,East,5238,Bathurst,Yonge,20:47,to TTC_1,T,METRO
2023-02-27,20:49,TTC_1,Finch,North,6061,Bloor ,Lawrence,21:02,from TTC_2,T,METRO
2023-02-28,9:32,TTC_1,Finch,North,5641,Lawrence,Sheppard-Yonge,9:38,to TTC_3,T,METRO
2023-02-28,9:43,TTC_3,Don Mills,East,6181,Sheppard-Yonge,Don Mills,9:51,"from TTC_1, to TTC_3",T,METRO
2023-02-28,9:57,TTC_985,Sheppard East Express,East,9064,Don Mills Station,Scarborough Centre Station,10:23,"from TTC_3, to TTC_4",T,BUS
2023-02-28,10:26,TTC_4,McCowan,East,3021,Scarborough Centre,McCowan,10:27,"from TTC_985, to TTC_4",T,LIGHT_RAIL
2023-02-28,10:29,TTC_4,Kennedy,West,3004,McCowan,Kennedy,10:41,"from TTC_4, to GO_",T,LIGHT_RAIL
2023-02-28,11:10,GO_ST,Stouffville,Southwest,2789,Kennedy,Union,11:27,"from TTC_4, to GO_KT",T,COMMUTER_RAIL
2023-02-28,11:34,GO_KT,Mount Pleasant,Northwest,4110,Union,Bloor,11:43,"from GO_ST, to TTC_2",T,COMMUTER_RAIL
2023-02-28,11:59,TTC_2,Kennedy,East,5230,Dundas West,Barthust,12:06,from GO_KT; horrible connection signage / no integration between stations,T,METRO
2023-02-28,13:40,TTC_511,Bathurst,South,4547,Bathurst Station,Bathurst / Queen,13:51,,F,STREETCAR
2023-02-28,15:29,TTC_1,Finch,South,5596,Osgode,Lawrence,15:53,,F,METRO
